SubtypeorRecombinantForm AmplifiedInSilico/Total

0102A1 1/2
72_BF1 2/3
A1U 5/6
F2 7/8
02A 15/16
08_BC 21/22
A6 43/45
D 55/56
CD 70/71
01B 131/132
C 1756/1764
A1 621/623
01_AE 1575/1580
B 7995/8006
A1D 231/231
07_BC 172/172
02_AG 122/122
A1C 119/119
BF1 84/84
A1CD 83/83
01BC 56/56
0107 56/56
BC 46/46
G 40/40
F1 31/31
02A1 28/28
20_BG 23/23
22_01A1 16/16
02A3 15/15
35_A1D 15/15
01A1 12/12
01C 12/12
0206 11/11
63_02A6 11/11
85_BC 11/11
A6B 10/10
111_01C 7/7
59_01B 7/7
103_01B 7/7
A1B 7/7
57_BC 7/7
71_BF1 7/7
O 7/7
33_01B 7/7
55_01B 6/6
U 6/6
51_01B 6/6
64_BC 6/6
06_cpx 6/6
11_cpx 6/6
02A6 5/5
47_BF1 5/5
117_0107 5/5
46_BF1 5/5
0222 5/5
02F2 5/5
61_BC 4/4
125_0107 4/4
112_01B 4/4
02B 4/4
65_cpx 4/4
02G 4/4
105_0108 3/3
84_A1D 3/3
96_cpx 3/3
76_01B 3/3
A1A2CD 3/3
13_cpx 3/3
113_0107 3/3
79_0107 3/3
100_01C 3/3
66_BF1 3/3
104_0107 3/3
48_01B 3/3
06G 3/3
HU 2/2
0102 2/2
87_cpx 2/2
110_BC 2/2
22F2 2/2
106_cpx 2/2
40_BF1 2/2
69_01B 2/2
28_BF1 2/2
62_BC 2/2
A1H 2/2
02A1F2 2/2
0209 2/2
0102A 2/2
32A6 2/2
24_BG 2/2
90_BF1 2/2
101_01B 2/2
01A1C 2/2
A1A2 2/2
DG 2/2
14_BG 2/2
97_01B 2/2
15_01B 2/2
99_BF1 2/2
29_BF1 2/2
A7 2/2
109_0107 2/2
18_cpx 2/2
102_0107 2/2
88_BC 2/2
115_01C 2/2
16_A2D 2/2
95_02B 2/2
42_BF1 1/1
GK 1/1
A1BG 1/1
54_01B 1/1
A1A2D 1/1
60_BC 1/1
37_cpx 1/1
0108 1/1
44_BF1 1/1
80_0107 1/1
14F1 1/1
CF1 1/1
32_06A6 1/1
05_DF 1/1
A1DG 1/1
BF1G 1/1
0708 1/1
AGU 1/1
A1BD 1/1
12_BF 1/1
BCF1 1/1
BCG 1/1
19_cpx 1/1
122_BF1 1/1
38_BF1 1/1
A1A3 1/1
89_BF1 1/1
06U 1/1
AF2 1/1
A1K 1/1
A1A2C 1/1
11A1 1/1
36_cpx 1/1
70_BF1 1/1
01F2 1/1
0218 1/1
56_cpx 1/1
68_01B 1/1
50_A1D 1/1
02AG 1/1
01A1G 1/1
02A1G 1/1
CU 1/1
32G 1/1
94_cpx 1/1
98_06B 1/1
DF1 1/1
